date,tweet,label,link,hashtags,username,name_x,day,hour,urls,photos,video,retweet,nlikes,nreplies,nretweets,quote_url,reply_to,bio,url,join_date,join_time,tweets,location,following,followers,likes,media,private,verified,avatar,background_image
23/2/2021 0:40,@DisabledFuture 2 days ago he had a suicidal man on cocaine cut his name on his body.,0,https://twitter.com/Hummingswordsm1/status/1363891358717591552,[],Hummingswordsm1,Humming swordsmen,2,0,[],[],0,FALSE,0,0,0,,"[{'screen_name': 'DisabledFuture', 'name': 'Juan | Join my FFXIV discord', 'id': '2387672958'}]",looking for something are you ? 😂,,8/8/2020,23:17:32 UTC,349,,9,1,248,33,FALSE,FALSE,https://pbs.twimg.com/profile_images/1292266115385753600/SIFUW5pa_normal.jpg,
23/2/2021 0:34,@MixRewindZ17 @KEEMSTAR @FBI @YouTube 2 days ago he had a suicidal man on cocaine cut his name on his body.,0,https://twitter.com/Hummingswordsm1/status/1363890012375429121,[],Hummingswordsm1,Humming swordsmen,2,0,[],[],0,FALSE,0,1,0,,"[{'screen_name': 'MixRewindZ17', 'name': 'Mix', 'id': '759645861504749568'}, {'screen_name': 'KEEMSTAR', 'name': 'KEEM 🍿', 'id': '872683897'}, {'screen_name': 'FBI', 'name': 'FBI', 'id': '17629860'}, {'screen_name': 'YouTube', 'name': 'YouTube', 'id': '10228272'}]",looking for something are you ? 😂,,8/8/2020,23:17:32 UTC,349,,9,1,248,33,FALSE,FALSE,https://pbs.twimg.com/profile_images/1292266115385753600/SIFUW5pa_normal.jpg,
23/2/2021 0:33,@SumHub1 @Justaaweeb 2 days ago he had a suicidal man on cocaine cut his name on his body.,0,https://twitter.com/Hummingswordsm1/status/1363889735954030602,[],Hummingswordsm1,Humming swordsmen,2,0,[],[],0,FALSE,0,0,0,,"[{'screen_name': 'SumHub1', 'name': 'SumHub', 'id': '1263232999799341056'}, {'screen_name': 'Justaaweeb', 'name': 'a u r o r a', 'id': '1051861849493438465'}]",looking for something are you ? 😂,,8/8/2020,23:17:32 UTC,349,,9,1,248,33,FALSE,FALSE,https://pbs.twimg.com/profile_images/1292266115385753600/SIFUW5pa_normal.jpg,
23/2/2021 0:32,@RazvyKestion @Justaaweeb 2 days ago he had a suicidal man on cocaine cut his name on his body.,0,https://twitter.com/Hummingswordsm1/status/1363889407347077121,[],Hummingswordsm1,Humming swordsmen,2,0,[],[],0,FALSE,0,1,0,,"[{'screen_name': 'RazvyKestion', 'name': 'Kestion', 'id': '745230082780823552'}, {'screen_name': 'Justaaweeb', 'name': 'a u r o r a', 'id': '1051861849493438465'}]",looking for something are you ? 😂,,8/8/2020,23:17:32 UTC,349,,9,1,248,33,FALSE,FALSE,https://pbs.twimg.com/profile_images/1292266115385753600/SIFUW5pa_normal.jpg,
23/2/2021 0:31,@FhupzYt 2 days ago he had a suicidal man on cocaine cut his name on his body.,0,https://twitter.com/Hummingswordsm1/status/1363889102022709252,[],Hummingswordsm1,Humming swordsmen,2,0,[],[],0,FALSE,0,0,0,,"[{'screen_name': 'FhupzYt', 'name': 'FhupzYT', 'id': '1360201312760188929'}]",looking for something are you ? 😂,,8/8/2020,23:17:32 UTC,349,,9,1,248,33,FALSE,FALSE,https://pbs.twimg.com/profile_images/1292266115385753600/SIFUW5pa_normal.jpg,
23/2/2021 0:30,@Angeltxwn 2 days ago he had a suicidal man on cocaine cut his name on his body.,0,https://twitter.com/Hummingswordsm1/status/1363888927095021569,[],Hummingswordsm1,Humming swordsmen,2,0,[],[],0,FALSE,0,0,0,,"[{'screen_name': 'Angeltxwn', 'name': 'Robin 🏳️\u200d🌈', 'id': '1335646773474447360'}]",looking for something are you ? 😂,,8/8/2020,23:17:32 UTC,349,,9,1,248,33,FALSE,FALSE,https://pbs.twimg.com/profile_images/1292266115385753600/SIFUW5pa_normal.jpg,
23/2/2021 0:30,@cuntnamed_farel 2 days ago he had a suicidal man on cocaine cut his name on his body.,0,https://twitter.com/Hummingswordsm1/status/1363888811676233731,[],Hummingswordsm1,Humming swordsmen,2,0,[],[],0,FALSE,1,1,0,,"[{'screen_name': 'cuntnamed_farel', 'name': 'Dissapointing_cunt', 'id': '1335909963214901251'}]",looking for something are you ? 😂,,8/8/2020,23:17:32 UTC,349,,9,1,248,33,FALSE,FALSE,https://pbs.twimg.com/profile_images/1292266115385753600/SIFUW5pa_normal.jpg,
23/2/2021 0:29,@seth_crowther @YouTube 2 days ago he had a suicidal man on cocaine cut his name on his body.,0,https://twitter.com/Hummingswordsm1/status/1363888749382361092,[],Hummingswordsm1,Humming swordsmen,2,0,[],[],0,FALSE,0,1,0,,"[{'screen_name': 'seth_crowther', 'name': 'seth is a cool name', 'id': '1162016300929081346'}, {'screen_name': 'YouTube', 'name': 'YouTube', 'id': '10228272'}]",looking for something are you ? 😂,,8/8/2020,23:17:32 UTC,349,,9,1,248,33,FALSE,FALSE,https://pbs.twimg.com/profile_images/1292266115385753600/SIFUW5pa_normal.jpg,
23/2/2021 0:29,@UTFrisk4 2 days ago he had a suicidal man on cocaine cut his name on his body.,0,https://twitter.com/Hummingswordsm1/status/1363888638975746051,[],Hummingswordsm1,Humming swordsmen,2,0,[],[],0,FALSE,0,0,0,,"[{'screen_name': 'UTFrisk4', 'name': 'UT!Frisk', 'id': '1356030066434650113'}]",looking for something are you ? 😂,,8/8/2020,23:17:32 UTC,349,,9,1,248,33,FALSE,FALSE,https://pbs.twimg.com/profile_images/1292266115385753600/SIFUW5pa_normal.jpg,
23/2/2021 0:42,"In Yukio Mishima's suicide, we must all agree that japanese and western medias for the most part were complacent.  He said it to whomever he knew that he had suicidal thoughts and desires. This wasn't like Y. Kawabata's case, they could have help him.   https://t.co/GEGEzhVQnQ",0,https://twitter.com/Liko_im/status/1363891902634942471,[],Liko_im,Liko Imalet,2,0,['https://www.youtube.com/watch?v=hLGMm6c_BCA'],[],0,FALSE,0,0,0,,[],"Miscellaneous | Nomadic | Rogue Graffi-machine 
🎙Podcaster at @Amecasp1
• Ě/they/he • Views my own, sə́sǒ •",https://t.co/aulVIMgaKB,15/9/2012,13:39:07 UTC,1142,Hɔm(e),35,59,7677,186,FALSE,FALSE,https://pbs.twimg.com/profile_images/1283855477705768962/anbIH-zj_normal.jpg,https://pbs.twimg.com/profile_banners/825281569/1612195883
